d,sed,var,fsed,fv
.079999998,.24494897,.059999999,.25679877,.065945618
.27000001,.2,.039999999,.21316607,.045439772
-.050000001,.1,.0099999998,.068076134,.0046343603
-.079999998,.2236068,.050000001,.21969463,.048265729
.07,.2236068,.050000001,.21969463,.048265729
.050000001,.33166248,.11,.33650109,.11323298
.49000001,.28284273,.079999998,.29513121,.087102436
.029999999,.30000001,.090000004,.30156869,.090943679
.30000001,.24494897,.059999999,.25679877,.065945618
.54000002,.24494897,.059999999,.25472015,.064882353
-.11,.26457512,.07,.27282429,.074433088
.12,.28284273,.079999998,.28335434,.080289677
.61000001,.31622776,.1,.29205659,.085297056
.47999999,.31622776,.1,.29513121,.087102436
.63,.30000001,.090000004,.29830027,.088983051
.22,.28284273,.079999998,.28907174,.083562478
.86000001,.26457512,.07,.20949583,.043888502
.23999999,.17320508,.029999999,.17346576,.030090369
-.19,.24494897,.059999999,.25472015,.064882353
.039999999,.26457512,.07,.26333359,.06934458
-.34,.26457512,.07,.26333359,.06934458
-.25,.2236068,.050000001,.22388552,.050124727
-.67000002,.28284273,.079999998,.27282429,.074433088
-.17,.33166248,.11,.33650109,.11323298
.66000003,.36055514,.13,.35101295,.12321009
.17,.30000001,.090000004,.31202611,.097360298
.47,.31622776,.1,.3196049,.1021473
-.69999999,.28284273,.079999998,.27535215,.075818807
.41,.2,.039999999,.20599318,.042433187
.57999998,.31622776,.1,.31575012,.099698134
-.15000001,.1,.0099999998,.097691514,.0095436322
.039999999,.28284273,.079999998,.29513121,.087102436
.40000001,.2236068,.050000001,.2329749,.054277308
.54000002,.2236068,.050000001,.21969463,.048265729
.66000003,.28284273,.079999998,.28907174,.083562478
1.26,.30000001,.090000004,.28061396,.078744188
.60000002,.24494897,.059999999,.2379204,.056606118
.44,.2,.039999999,.18698728,.034964245
.54000002,.26457512,.07,.26561835,.070553109
.34999999,.2,.039999999,.20264548,.04106519
.23,.1,.0099999998,.094263487,.0088856053
.30000001,.14142136,.02,.14096367,.019870756
.33000001,.28284273,.079999998,.28907174,.083562478
.57999998,.33166248,.11,.3320367,.11024837
0,.24494897,.059999999,.25472015,.064882353
.79000002,.26457512,.07,.25472015,.064882353
.58999997,.30000001,.090000004,.29830027,.088983051
.83999997,.33166248,.11,.32773921,.10741299
.52999997,.28284273,.079999998,.29205659,.085297056
.56999999,.24494897,.059999999,.24499328,.060021706
.36000001,.2,.039999999,.2119232,.04491144
.44,.2236068,.050000001,.22246417,.04949031
.34999999,.31622776,.1,.32773921,.10741299
.16,.28284273,.079999998,.29205659,.085297056
.25,.17320508,.029999999,.1581344,.02500649
.41999999,.24494897,.059999999,.24875729,.061880186
.98000002,.24494897,.059999999,.23459145,.055033151
.62,.2,.039999999,.19439331,.037788756
.60000002,.2236068,.050000001,.20949583,.043888502
.56,.24494897,.059999999,.22830497,.052123159
.38999999,.2236068,.050000001,.22830497,.052123159
.46000001,.24494897,.059999999,.22830497,.052123159
.56,.24494897,.059999999,.25268817,.063851304
-.28999999,.36055514,.13,.36750227,.13505791
-.039999999,.2,.039999999,.2119232,.04491144
-.02,.30000001,.090000004,.31575012,.099698134
.0099999998,.24494897,.059999999,.25679877,.065945618
.73000002,.31622776,.1,.31202611,.097360298
.55000001,.2,.039999999,.20949583,.043888502
.86000001,.38729835,.15000001,.37983271,.14427289
.28999999,.2236068,.050000001,.23459145,.055033151
.52999997,.2236068,.050000001,.22680514,.051440567
-.039999999,.31622776,.1,.32773921,.10741299
.82999998,.33166248,.11,.32773921,.10741299
.60000002,.2236068,.050000001,.21701799,.047096811
-.23999999,.2236068,.050000001,.21701799,.047096811
.47999999,.24494897,.059999999,.24499328,.060021706
.25999999,.17320508,.029999999,.16860461,.028427517
.70999998,.2,.039999999,.19246846,.037044112
.91000003,.45825756,.20999999,.45547917,.20746127
.88999999,.47958314,.23,.47919998,.22963262
.60000002,.37416574,.14,.38646734,.14935701
1.1,.50990194,.25999999,.49250981,.24256591
.56999999,.36055514,.13,.37351942,.13951676
-.41999999,.26457512,.07,.26110351,.06817504
0,.1,.0099999998,.11288963,.012744069
.38,.2236068,.050000001,.22246417,.04949031
.44,.26457512,.07,.26110351,.06817504
-.30000001,.2236068,.050000001,.23459145,.055033151
.41,.24494897,.059999999,.25268817,.063851304
.28999999,.24494897,.059999999,.24875729,.061880186
