d,se,v,fse,fv
1.064955,.0080000004,.000064,.014647357,.00021454507
.723077,.036837306,.001356987,.03460547,.0011975385
.74726474,.03727375,.001389332,.036724579,.0013486947
.92559522,.041002728,.001681224,.043547358,.0018963724
.97995788,.056488328,.0031909309,.055008005,.0030258805
.67552054,.060127348,.0036152981,.059081212,.0034905896
.74726474,.074743561,.0055865999,.07214766,.0052052848
.69916666,.07302215,.0053322338,.072305739,.0052281199
.92559522,.096159779,.0092467042,.089175969,.007952353
.69916666,.09093719,.0082695717,.091140591,.0083066076
.58333331,.092728406,.0085985567,.097541414,.0095143272
.84707582,.17886831,.031993873,.17160544,.029448427
.60604376,.034948997,.001221432,.035787795,.0012807662
.69916666,.048592977,.002361278,.046730619,.0021837507
.77174366,.05034465,.0025345839,.046730619,.0021837507
.74726474,.062219556,.003871273,.06677907,.004459444
.56082898,.068772361,.0047296369,.06677907,.004459444
.79652822,.076641709,.0058739511,.072665408,.0052802619
.47267205,.066587143,.004433848,.072665408,.0052802619
.26222524,.073477477,.0053989389,.073277488,.0053695901
1.1547005,.10186002,.010375464,.091964632,.008457494
.51639777,.090342999,.0081618568,.094309434,.0088942694
.45105079,.08831273,.0077991378,.094581477,.008945656
.53852046,.091096774,.0082986224,.095883638,.0091936719
.34502211,.096430101,.0092987642,.097641684,.0095338989
.34502211,.096430101,.0092987642,.0978432,.0095732911
.53852046,.096442573,.0093011688,.10091619,.010184078
.79652822,.10249051,.010504304,.10333578,.010678284
.42957902,.17133123,.029354388,.17160544,.029448427
.60604376,.17610617,.031013384,.17564943,.030852726
.38705048,.18042263,.032552324,.17935491,.032168183
.60604376,.2130416,.045386724,.21642359,.04683917
