d,v,sed,n
0.542,0.075076,0.274,54
0.559,0.093636,0.306,43
0.419,0.040401,0.201,100
0.651,0.068644,0.262,60
0.474,0.040401,0.201,100
0.52,0.067081,0.259,60
0.696,0.1024,0.32,40
0.597,0.079524,0.282,50
0.616,0.082944,0.288,49
0.711,0.1024,0.32,40
0.435,0.084681,0.291,30
0.586,0.075076,0.274,54
0.64,0.080089,0.283,51
0.541,0.057121,0.239,71
0.54,0.033124,0.182,124
0.4,0.056169,0.237,71
0.563,0.058081,0.241,70
0.447,0.051529,0.227,78
0.561,0.051076,0.226,80
0.637,0.045796,0.214,90
1.013,0.109561,0.331,40
0.636,0.080089,0.283,51
0.571,0.065536,0.256,62
0.414,0.041616,0.204,97
0.625,0.068121,0.261,60
