d,v,sed,,study,n,n_control,n_treat
1.1952,0.099077433,0.314765685,,1985ArkThe02A,54,17,37
1.84,0.053174075,0.230595043,,1985ArkThe03A,108,60,48
0.3126,0.025662253,0.160194423,,1985ArkThe04A,158,82,76
0.5693,0.029088274,0.170552848,,1985ArkThe07A,145,64,81
1.9406,0.064089082,0.253158215,,1985ArkThe08A,95,37,58
-1.3665,0.031542119,0.177601007,,1990GarDe-01A,197,50,147
-1.7677,0.14637846,0.382594386,,1990GarDe-02AD,38,19,19
-0.4624,0.10537278,0.324611739,,1990GarDe-03A,39,20,19
0.6139,0.015876153,0.126000607,,1990GarThr01A,407,81,326
0.3254,0.046056166,0.214607003,,1991GarEff01A,88,44,44
0.3939,0.061781496,0.248558834,,1991GarEff02A,66,33,33
-1.628,0.02542844,0.159462977,,1995HeaEsc01A,214,125,89
-1.5233,0.031913579,0.178643723,,1995HeaEsc03A,162,85,77
0.7991,0.026836459,0.163818369,,1995HeaEsc03B,161,79,82
0.5454,0.035141435,0.18746049,,1995KeiThe1A,156,39,117
0.3767,0.034567524,0.18592343,,1995KeiThe1B,157,39,118
1.5286,0.10669951,0.326648914,,1995TanSun01C,50,30,20
0.2014,0.10098486,0.317781142,,1995TanSun01D,41,17,24
0.766,0.085995764,0.293250345,,1995TanSun02A,50,24,26
0.2816,0.084159359,0.290102327,,1995TanSun02B,48,24,24
0.9214,0.024310378,0.15591786,,1997ZeeA r01A,182,91,91
0.6537,0.10534155,0.324563624,,1998DicThe01A,40,20,20
-0.3565,0.10158865,0.318729749,,1998DicThe01B,40,20,20
0.229,0.039376192,0.198434354,,1998GarToo01A,106,63,43
0.7168,0.062601484,0.250202892,,1998GarToo02AB,68,34,34
0.3897,0.12737291,0.356893412,,1998GarToo03ABCD,32,16,16
0.6085,0.069752268,0.264106548,,1998GouPay03A,60,30,30
1.4482,0.084144026,0.290075899,,1998GouPay03B,60,30,30
0.1401,0.066830233,0.258515441,,1998GouPay03C,60,30,30
0.1374,0.066823989,0.258503365,,1998GouPay03D,60,30,30
0.1998,0.11166555,0.334163966,,1999BorRat1A,36,18,18
0.341,0.10145351,0.31851768,,1999BorRat1B,40,20,20
1.6609,0.073699251,0.271476055,,2000ArkThe01A,73,36,37
0.4645,0.017907819,0.133820098,,2000ArkThe02A,230,121,109
-0.6802,0.043626405,0.208869347,,2000KeaSun01A,97,49,48
0.5636,0.04287884,0.207072069,,2000KeaSun01B,97,49,48
0.7266,0.045854155,0.214135831,,2000KeiA C1A,93,46,47
1.7006,0.090767004,0.301275626,,2000KeiA C1B,60,30,30
1.3156,0.041943118,0.20480019,,2000KeiA C1C,116,58,58
0.9379,0.007681364,0.087643389,,2000KeiWhy,579,289,289
0.7484,0.043236963,0.207935,,2001aSomThe02A,99,50,49
0.4765,0.051419076,0.226757749,,2001aSomThe03A,80,40,40
0.482,0.051452026,0.226830388,,2001aSomThe03B,80,40,40
1.332,0.1221778,0.349539411,,2001aSomThe04A,40,20,20
1.3205,0.01825057,0.135094667,,2001MooLoo01A,340,85,255
0.1552,0.066867389,0.258587301,,2001SomThe05A,60,30,30
0.895,0.073341876,0.270817051,,2001SomThe05B,60,30,30
0.2411,0.011171662,0.105696085,,2001SomTra03A,480,120,360
0.247,0.00157196,0.039647946,,2001SomTra03A,2565,1282,1282
-0.6429,0.1752775,0.418661568,,2002KarImp01A,24,12,12
-0.6429,0.1752775,0.418661568,,2002KarImp01B,24,12,12
-0.5448,0.21833703,0.467265478,,2002KarImp02A,19,9.5,9.5
-0.5448,0.21833703,0.467265478,,2002KarImp02B,19,9.5,9.5
0.1979,0.14355651,0.378888516,,2002KarImp03A,28,14,14
1.1648,0.050809339,0.225409271,,2002TanFin1,116,30,86
0.6946,0.038235664,0.195539415,,2002TanFin3,81,57,54
0.8784,0.067852944,0.26048597,,2002TanFin5,75,23,52
0.8349,0.10650145,0.326345597,,2003DijThe,46,15,31
0.9873,0.10512786,0.324234276,,2003DijThe,47,16,31
1.5174,0.058120739,0.241082428,,2005GreDer01A,143,24,119
-0.2618,0.026027545,0.161330549,,2007FriSea,155,77.5,77.5
0.1144,0.05981246,0.244565864,,2007JanRes01A,67,34,33
0.0754,0.035123456,0.187412532,,2007JanRes01B,114,56,58
0,0.0625,0.25,,2007JanRes01C,64,32,32
-0.7619,0.06601835,0.256940363,,2007JanRes01D,65,32,33
2.778,0.13789251,0.371338818,,2008FenMen01A,57,28,29
1.7324,0.052390169,0.228888988,,2008FenMen01B,105,52,53
1.2852,0.07913024,0.281300982,,2008FenMen01C,61,30,31
1.2412,0.05962861,0.244189699,,2008FenMen01D,80,40,40
2.778,0.10765263,0.328104602,,2008GinDo01A,73,36.5,36.5
2.778,0.1786055,0.422617439,,2008GinDo02A,44,22,22
1.1818,0.10696834,0.327060155,,2008GinDo03A,44,21,23
1.5442,0.15352014,0.39181646,,2008GinDo03B,36,13,23
0.5022,0.012064627,0.109839096,,2008LiuCan01A,171,171,171
0.93,0.029549666,0.171900165,,2008StrAre01A,75,75,75
-0.4714,0.028158281,0.167804293,,2008StrAre01B,73,73,73
0.2794,0.043372635,0.20826098,,2009ColSun,145,29,116
-0.0142,0.00750488,0.086630708,,2010AshCan01A,533,266.5,266.5
0.6829,0.004756378,0.068966497,,2010AshCan02A,890,445,445
0.1739,0.015677502,0.125209832,,2010ColSun,288,96,192
-0.8174,0.084015846,0.289854866,,2010KenImp,53,31,22
0.9586,0.05946891,0.243862481,,2010PutWho01A,75,38,37
0.3472,0.049515534,0.222520866,,2011JenThe01A,82,41,41
0.1608,0.027867557,0.166935789,,2011JenThe02A,144,72,72
0.6264,0.063802049,0.252590669,,2011JusThe01A,66,31,35
-0.4143,0.02175479,0.147495053,,2012BraAss01A,188,91,97
0.1962,0.058359753,0.241577634,,2012DuxSun1A,69,33,36
0.476,0.06054046,0.246049708,,2012DuxSun1B,68,33,35
0.0153,0.037790764,0.194398471,,2012DuxSun2A,106,51,55
-0.2046,0.035178963,0.187560555,,2012DuxSun2B,115,62,53
0.7419,0.040719721,0.201791279,,2012KwaEff02A,105,52,53
1.3097,0.050083321,0.223793033,,2012KwaEff02B,97,48,49
0.7933,0.031725459,0.17811642,,2012KwaEff03A,136,68,68
0.9087,0.018939663,0.137621449,,2012KwaEff04A,233,116,117
0.5176,0.050414085,0.224530808,,2012VetZur,82,41,41
0.5183,0.036023486,0.18979854,,2012WesIna3,135,41,94
0.303,0.01759089,0.132630649,,2013HerBea,230,115,115
0.3429,0.023378411,0.152900004,,2013RobDie01A,195,65,130
0.4435,0.03201833,0.178936662,,2010FerTheA,128,64,64
0.2323,0.031460796,0.177371909,,2010FerTheA,128,64,64
