q,seq,varq,fseq,fvarq
.91339469,.18731716,.03508772,.18890205,.035683986
.45699462,.18731716,.03508772,.18890205,.035683986
.47909603,.20628425,.04255319,.20740667,.043017525
.45522538,.27755547,.077037036,.27364305,.074880511
.28064752,.20628425,.04255319,.20740667,.043017525
.21430331,.12950648,.016771929,.13029183,.016975963
.20674916,.12950648,.016771929,.13029183,.016975963
.16566418,.20628425,.04255319,.20740667,.043017525
.054084823,.10472662,.010967665,.10398486,.010812852
.035891987,.073572613,.0054129292,.063330367,.0040107351
-.032269262,.13529357,.018304352,.13596268,.018485852
-.047188126,.075860254,.0057547782,.068034351,.0046286727
-.074510723,.20628425,.04255319,.20740667,.043017525
-.1400957,.12964074,.016806724,.130574,.01704957
-.17242025,.19707514,.038838614,.19845502,.039384395
-.33069924,.19376238,.037543859,.19482154,.037955433
